position,title,url,source_name,uploaded,uploaded_utc,snippet,thumbnail_url
67,3 Artificial Intelligence ETFs to Invest in 2025,https://www.entrepreneur.com/finance/3-artificial-intelligence-etfs-to-invest-in-2025/484949,Entrepreneur,Entrepreneur,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
68,AI-Powered Smartphones Could Offset a Data Center Downturn,https://www.pymnts.com/news/artificial-intelligence/2024/ai-powered-smartphones-could-offset-data-center-downturn/,PYMNTS.com,PYMNTS.com,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
69,OpenAI's o3 reasoning model ignites AI hype among top influencers,https://cio.economictimes.indiatimes.com/news/artificial-intelligence/openais-o3-reasoning-model-ignites-ai-hype-among-top-influencers/116731442?utm_source=latest_news&utm_medium=homepage,ET CIO,ET CIO,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
70,4 of Wall Street's Most Prominent Artificial Intelligence (AI) Stocks Have Made a Shocking $1.23 Trillion Investment,https://www.fool.com/investing/2024/12/26/4-wall-street-ai-stocks-123-trillion-investment/,The Motley Fool,The Motley Fool,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
71,"1 Artificial Intelligence (AI) Stock to Buy Before It Hits $3 Trillion in 2025, According to a Wall Street Analyst",https://www.aol.com/1-artificial-intelligence-ai-stock-091200684.html,AOL.com,AOL.com,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
72,New 2025 laws hit hot topics from AI in movies to rapid-fire guns,https://abcnews.go.com/US/wireStory/new-2025-laws-hit-hot-topics-ai-movies-117134835,"ABC News - Breaking News, Latest News and Videos","ABC News - Breaking News, Latest News and Videos",2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
73,Missed Out on Palantir's Run-Up? My Best Artificial Intelligence (AI) Stock to Buy and Hold.,https://www.fool.com/investing/2024/12/26/missed-out-on-palantirs-run-up-my-best-artificial/,The Motley Fool,The Motley Fool,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
74,I've got a solution to AI photo fakery – but it would be wildly controversial,https://www.digitalcameraworld.com/tech/artificial-intelligence/ive-got-a-solution-to-ai-photo-fakery-but-it-would-be-wildly-controversial,Digital Camera World,Digital Camera World,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
75,Foxconn Invests in AI Data Center Firm Zettabyte to Boost Sustainable Computing,https://www.pymnts.com/artificial-intelligence-2/2024/foxconn-invests-in-ai-data-center-firm-zettabyte-to-boost-sustainable-computing/,PYMNTS.com,PYMNTS.com,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
76,2024: The year AI drove everyone crazy,https://arstechnica.com/ai/2024/12/2024-the-year-ai-drove-everyone-crazy/,Ars Technica,Ars Technica,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
77,35% of Warren Buffett's $296 Billion Portfolio Is Invested in 3 Artificial Intelligence (AI) Stocks,https://www.fool.com/investing/2024/12/25/35-warren-buffett-296-billion-invested-3-ai-stocks/,The Motley Fool,The Motley Fool,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
78,Should You Forget Tesla and Buy 2 Artificial Intelligence (AI) Stocks Right Now?,https://www.fool.com/investing/2024/12/25/forget-tesla-buy-artificial-intelligence-stocks/,The Motley Fool,The Motley Fool,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
79,US company using 'secret weapon' for its artificial intelligence,https://www.foxnews.com/video/6366465024112,Fox News,Fox News,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
